OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
3181704,E,7,0,,A,D,10.12,02A9640C9AFA86191C22F5DA08692E08,1 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,10.1188951051,50.76879668750001,2.740626494321077
3181718,E,7,0,,A,D,14.75,02A96408DDF1D5581C22F5DB82694C21,3 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,14.750470779,50.76832921610155,2.7320890767120907
3829740,E,7,0,,A,D,7.79,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,7.78457508159,50.76395149713045,2.721660639838074
4986874,E,7,0,,A,D,208.6,,3Ø45,1,0,1,0,OP<12 Fo  FU592447/F41100012 1022m,0,1,B,0,0,0,0,0,0,,,,,0,0,,208.58163304,50.78021730909339,2.728355020465346
4987608,E,7,0,,A,D,10.11,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,10.1100481356,50.779572022837876,2.7328230351840177
4987613,E,7,0,,A,D,64.5,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,64.4781224971,50.77947549076935,2.73397809835446
4987748,E,7,0,,A,D,233.07,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,233.010805622,50.779379374218344,2.736930588076936
5042137,E,7,0,,A,D,46.24,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,46.230196095,50.779605903086704,2.719150943961164
5042568,E,4,0,,N,D,156.44,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,156.437679361,50.78068795852396,2.7200943928172934
5042572,E,7,0,,A,D,91.2,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,91.1827898619,50.78038596388296,2.722270806807605
5045295,E,4,0,,N,D,60.45,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,60.4259193363,50.77665371522275,2.7377339283605977
5045568,E,7,0,,A,D,68.96,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,68.9561812147,50.77972903334124,2.727597839677449
5050111,E,7,0,,A,D,30.0,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,29.9975992185,50.766960572197114,2.7181506377847295
5050112,E,7,0,,A,D,10.7,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,10.7026785045,50.76709557073354,2.718268491228727
5050234,E,7,0,,A,D,296.25,,5Ø45,1,0,1,0,"OP<36 Fo  FU592447/F40891 1329,99m",0,1,B,0,0,0,0,0,0,,,,,0,0,,296.160317213,50.76786781059625,2.7079170434652067
5050236,E,4,0,,N,D,64.63,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,64.6102771608,50.76720941437018,2.7096175495695483
5050237,E,7,0,,A,D,130.3,,5Ø45,1,0,1,0,"OP<36 Fo  FU592447/F40891 1329,99m",0,1,B,0,0,0,0,0,0,,,,,0,0,,130.29323948,50.76672245573477,2.7099372728143014
