image_id,latitude_SIG,longitude_SIG,pano_lat,pano_lon,distance_m,bearing_deg,pitch_deg,fov,date,pano_id
1646,45.696180409010125,4.807132388781661,45.69618852744831,4.807210005508201,6.1,261.48,-22.3,55,2024-06,0QXCua36KujWFWPaSJATXg
1647,45.70294213653693,4.805285312471497,45.70299204445458,4.805365489921146,8.34,228.29,-16.69,45,2024-08,qRIKi392UcGnWeFdCu1Vww
1648,45.69687174114636,4.8073247740097775,45.69684575447124,4.807422634831299,8.13,290.82,-17.09,45,2024-06,pR1GuY_-6AqKuM_PDyUIqQ
1649,45.69965199639828,4.80505630408654,45.69974794145143,4.805066235454233,10.7,184.13,-13.16,35,2024-07,df4NW32-5jUhuH46eISMww
1650,45.69918027189005,4.807825572352405,45.69908703749312,4.807898714676211,11.82,331.28,-11.94,35,2024-08,apmfW8saejnWtNW6PbD2vA
1652,45.701443508048094,4.796165124944206,45.70139455427907,4.796049118016087,10.53,58.86,-13.36,35,2024-06,GJZ-YmKxbYvyTNjZG8b6pg
1654,45.70135911004286,4.805620690235219,45.70129797772178,4.805569005593359,7.89,30.56,-17.57,45,2015-05,cx6HiVv71Z1LxSMCQRBRkg
1655,45.69898833575126,4.801312556973072,45.69895870193266,4.801403940643048,7.82,294.91,-17.72,45,2024-06,djiqrJsWYNykfaAwG9bBDA
1656,45.70033809624872,4.804460297903061,45.70030496809733,4.804396858581073,6.15,53.21,-22.12,55,2024-08,qKusNDqQqY4PBIzKWKNorw
1657,45.70107140304216,4.80641659590889,45.70106297496469,4.806327844905994,6.96,82.26,-19.77,55,2015-05,MqaieGetSnUtPwwIs3r0-Q
1660,45.768440025831055,4.946351002249537,45.76839388982485,4.946304505111317,6.27,35.11,-21.74,55,2026-06,cIlf0kP1Dm0BKfsQ-O978w
1661,45.69917955756067,4.806237562974657,45.69920212080527,4.806343937026381,8.63,253.11,-16.15,45,2024-08,eDjF-DIwprRKDUxrTCFM_A
1662,45.696166239991534,4.805085671138781,45.69621370317116,4.80504555562765,6.13,149.45,-22.19,55,2024-06,uyiAuayfCVSq9wJ8n78Caw
1663,45.7011902099898,4.805644211850598,45.70124872466496,4.805702382703565,7.92,214.77,-17.52,45,2015-05,o89f8SP512yG8uhJxobcaw
1665,45.697419273815534,4.809223502574221,45.69738224808152,4.80911769545762,9.19,63.39,-15.22,45,2024-07,QelUKKNXxvvgqmWjXX0SlQ
1668,45.70120334417168,4.807438903404025,45.70125326263201,4.807364817878216,7.99,133.97,-17.37,45,2015-05,ANCo2YoX585Ed4bYc4PRXQ
1669,45.70119757313747,4.803333636094616,45.70120397419993,4.803463035061711,10.07,265.95,-13.94,35,2024-07,0mwJ2h0WakgK69bKsXtUdQ
1673,45.701837286095866,4.804662778948071,45.70194067633398,4.804720001517105,12.33,201.13,-11.47,35,2024-08,3NtBvT-h201817V2GAfKAA
